index,station,parm
115749,IJBA,0.3188678927921008
143838,IJDB,-0.021612955816694358
20754,IKSA,0.22417690596726156
23491,IMSA,0.2087956749282021
143814,IMSB,0.054491464170475575
3732,IMWB,-0.07909876363406564
25044,INCA,0.3254158040315763
106740,ISGB,0.036214252632595124
143109,JAEA,0.44963723729989635
144037,JAGA,0.2993824254155997
80809,JAHA,0.0784336884763046
80483,JASA,0.196695257168046
143131,JCUA,0.28271172326735333
543,JDO,-0.006520959315533461
20750,JECB,0.07806636320568926
80386,JEJB,-0.15414621855891214
3420,JEO2,-0.13497961739959904
93,JES,-0.37973815093558594
121813,JESA,-0.11286430224656042
80495,JEU2,-0.2582007883564592
143201,JGNA,0.12726926507757358
25745,JINA,0.2941815389867056
5707,JJB,-0.4376118675363914
80977,JJU2,-0.4418689792358518
